shipping_id	previous_id	status	iso_rec	usually_called	reason
alemannic	als	renamed	gsw	Alemannic, Swiss German, Alsatian	named for the place the variety is written, 2026
almaty-kazakh	kk	renamed	kk	Kazakh	named for the place the variety is written, 2026
addis-ababa-amharic	am	renamed	am	Amharic	full city name, 2026
amritsar-punjabi	pa	renamed	pa	Punjabi (Gurmukhi)	named for the place the variety is written, 2026
amsterdam-dutch	nl	renamed	nl	Dutch	named for the place the variety is written, 2026
homeric-greek	ancient-greek	renamed	grc	Classical Greek	named by text, 2026
anglo-norman	anglo-norman	keep	xno	Anglo-Norman	name never in question
cairo-academy-arabic	ar	renamed	arb	Modern Standard Arabic	academy seat, 2026
asuncion-guarani	gn	renamed	gn	Paraguayan Guarani	named for the place the variety is written, 2026
athenian-greek	el	renamed	el	Modern Greek	named for the place the variety is written, 2026
baku-azerbaijani	az	renamed	az	Azerbaijani	named for the place the variety is written, 2026
bangkok-thai	th	renamed	th	Thai	named for the place the variety is written, 2026
barcelona-catalan	ca	renamed	ca	Catalan	named for the place the variety is written, 2026
beijing-mandarin	zh	renamed	cmn	Mandarin, Written Chinese	named for the place the variety is written, 2026
biblical-hebrew	biblical-hebrew	keep	hbo	Classical Hebrew	name never in question
bratislava-slovak	sk	renamed	sk	Slovak	named for the place the variety is written, 2026
bucharest-romanian	ro	renamed	ro	Romanian	named for the place the variety is written, 2026
budapest-hungarian	hu	renamed	hu	Hungarian	named for the place the variety is written, 2026
cape-afrikaans	af	renamed	af	Afrikaans	named for the place the variety is written, 2026
cheboksary-chuvash	cv	renamed	cv	Chuvash	named for the place the variety is written, 2026
chennai-tamil	ta	renamed	ta	Tamil	named for the place the variety is written, 2026
cherokee	cherokee	keep	chr	Cherokee, Tsalagi	name never in question
abbasid-arabic	classical-arabic	renamed	arb	Classical Arabic	dynasty pins the era, 2026
ciceronian-latin	classical-latin	renamed	la	Golden Age Latin	named for the hand in the corpus, 2026
tenochtitlan-nahuatl	classical-nahuatl	renamed	nci	Colonial Nahuatl	place pins the era, 2026
colonial-doctrina-quechua	classical-quechua	renamed	qwc	Colonial Quechua	era plus genre, 2026
colombo-sinhala	si	renamed	si	Sinhala	named for the place the variety is written, 2026
connacht-irish	ga	renamed	ga	Irish, Gaeilge	named for the place the variety is written, 2026
copenhagen-danish	da	renamed	da	Danish	named for the place the variety is written, 2026
cornish	kw	renamed	kw	Cornish, Kernewek	named for the place the variety is written, 2026
cusco-quechua	qu	renamed	quz	Southern Quechua	named for the place the variety is written, 2026
cyrillic-shtokavian	cyrillic-shtokavian	keep	hbs	Serbo-Croatian (Cyrillic), Serbian	name never in question
delhi-hindi	hi	renamed	hi	Hindi, Khari Boli	named for the place the variety is written, 2026
diyarbakir-kurmanji	ku	renamed	kmr	Kurmanji	named for the place the variety is written, 2026
dushanbe-tajik	tg	renamed	tg	Tajik	named for the place the variety is written, 2026
madrid-spanish	es	renamed	es	Spanish, Castilian	academy seat, 2026
esperanto	eo	renamed	eo	Esperanto	named for the place the variety is written, 2026
bilbao-basque	eu	renamed	eu	Basque, Euskara Batua	academy seat, 2026
fiji-hindi	hif	renamed	hif	Fiji Hindi, Fiji Baat	named for the place the variety is written, 2026
florentine-italian	it	renamed	it	Italian	named for the place the variety is written, 2026
compostela-galician	gl	renamed	gl	Galician	cures a name collision, 2026
jorhat-assamese	as	renamed	as	Assamese	seat of the Eastern Assamese standard, 2026
gwynedd-welsh	cy	renamed	cy	Welsh	named for the place the variety is written, 2026
hamburg-german	de	renamed	de	German, Hochdeutsch	media weight outranks the academy seat, 2026
hanoi-vietnamese	vi	renamed	vi	Vietnamese	named for the place the variety is written, 2026
hawaiian	hawaiian	keep	haw	Hawaiian, Olelo Hawai'i	name never in question
tel-aviv-hebrew	he	renamed	he	Modern Israeli Hebrew	place is timeless, 2026
hebridean-gaelic	gd	renamed	gd	Scottish Gaelic	named for the place the variety is written, 2026
helsinki-finnish	fi	renamed	fi	Finnish	named for the place the variety is written, 2026
hong-kong-cantonese	zh-yue	renamed	yue	Cantonese, Yue	named for the place the variety is written, 2026
huesca-aragonese	an	renamed	an	Aragonese	named for the place the variety is written, 2026
hyderabad-sindhi	sd	renamed	sd	Sindhi	name collision accepted, 2026
ido	io	renamed	io	Ido	named for the place the variety is written, 2026
istanbul-turkish	tr	renamed	tr	Turkish	named for the place the variety is written, 2026
jakarta-indonesian	id	renamed	id	Indonesian	named for the place the variety is written, 2026
johor-malay	ms	renamed	ms	Malay	named for the place the variety is written, 2026
kandahar-pashto	ps	renamed	ps	Pashto	named for the place the variety is written, 2026
kathmandu-nepali	ne	renamed	ne	Nepali	named for the place the variety is written, 2026
kaunas-lithuanian	lt	renamed	lt	Lithuanian	named for the place the variety is written, 2026
new-testament-greek	koine-greek	renamed	grc	Hellenistic Greek	named by text, 2026
kolkata-bengali	bn	renamed	bn	Bengali	named for the place the variety is written, 2026
kyiv-ukrainian	uk	renamed	uk	Ukrainian	named for the place the variety is written, 2026
